33.88035,-78.51597,12.7,2013-06-17,12:23:21,0,1A1 - Marina Life
33.88035,-78.51585,19.3,2012-11-02,13:41:39,2,C7C - Altair
33.88035,-78.51570,16.2,2011-11-11,16:16:14,2,C7C - Altair
33.88035,-78.51509,11.8,2010-10-25,15:05:56,1.3,C7C - Chez Nous
33.88036,-78.51603,14.1,2013-11-07,21:52:28,2,CDE - Altair
33.88036,-78.51563,17.3,2014-05-23,17:09:48,2,CDE - Altair
33.88037,-78.51595,19.0,2012-05-21,12:20:46,2,C7C - Altair
33.88037,-78.51577,19.2,2012-11-02,13:41:37,2,C7C - Altair
33.88037,-78.51565,16.2,2013-04-14,11:47:22,2,C7C - Altair
33.88037,-78.51562,16.3,2011-11-11,16:16:12,2,C7C - Altair
33.88037,-78.51500,12.1,2010-10-25,15:05:54,1.3,C7C - Chez Nous
33.88038,-78.51593,12.9,2013-06-17,12:23:22,0,1A1 - Marina Life
33.88038,-78.51592,14.4,2013-11-07,21:52:26,2,CDE - Altair
33.88038,-78.51587,19.3,2012-05-21,12:20:48,2,C7C - Altair
33.88038,-78.51568,19.3,2012-11-02,13:41:35,2,C7C - Altair
33.88038,-78.51555,16.3,2013-04-14,11:47:24,2,C7C - Altair
33.88038,-78.51554,17.6,2014-05-23,17:09:50,2,CDE - Altair
33.88039,-78.51492,11.9,2010-10-25,15:05:52,1.3,C7C - Chez Nous
33.88040,-78.51582,13.0,2013-06-17,12:23:25,0,1A1 - Marina Life
33.88040,-78.51560,19.3,2012-11-02,13:41:33,2,C7C - Altair
33.88040,-78.51552,16.3,2011-11-11,16:16:10,2,C7C - Altair
33.88040,-78.51546,17.3,2014-05-23,17:09:52,2,CDE - Altair
33.88041,-78.51582,14.2,2013-11-07,21:52:24,2,CDE - Altair
33.88041,-78.51483,11.8,2010-10-25,15:05:50,1.3,C7C - Chez Nous
33.88042,-78.51580,19.3,2012-05-21,12:20:50,2,C7C - Altair
33.88042,-78.51572,12.9,2013-06-17,12:23:27,0,1A1 - Marina Life
33.88042,-78.51550,19.4,2012-11-02,13:41:31,2,C7C - Altair
33.88042,-78.51545,16.5,2013-04-14,11:47:26,2,C7C - Altair
33.88042,-78.51537,17.0,2014-05-23,17:09:54,2,CDE - Altair
33.88043,-78.51572,19.2,2012-05-21,12:20:52,2,C7C - Altair
33.88043,-78.51565,12.8,2013-06-17,12:23:30,0,1A1 - Marina Life
33.88043,-78.51543,16.5,2011-11-11,16:16:08,2,C7C - Altair
33.88043,-78.51535,16.6,2013-04-14,11:47:28,2,C7C - Altair
33.88044,-78.51572,14.6,2013-11-07,21:52:22,2,CDE - Altair
33.88044,-78.51528,17.8,2014-05-23,17:09:56,2,CDE - Altair
33.88044,-78.51475,11.9,2010-10-25,15:05:48,1.3,C7C - Chez Nous
33.88045,-78.51565,19.0,2012-05-21,12:20:54,2,C7C - Altair
33.88045,-78.51542,19.2,2012-11-02,13:41:29,2,C7C - Altair
33.88045,-78.51535,16.7,2011-11-11,16:16:06,2,C7C - Altair
33.88045,-78.51466,11.7,2010-10-25,15:05:46,1.3,C7C - Chez Nous
33.88046,-78.51561,14.1,2013-11-07,21:52:20,2,CDE - Altair
33.88046,-78.51519,17.4,2014-05-23,17:09:58,2,CDE - Altair
33.88047,-78.51558,13.0,2013-06-17,12:23:32,0,1A1 - Marina Life
33.88047,-78.51557,19.3,2012-05-21,12:20:56,2,C7C - Altair
33.88047,-78.51552,12.9,2013-06-17,12:23:34,0,1A1 - Marina Life
33.88047,-78.51533,19.1,2012-11-02,13:41:27,2,C7C - Altair
33.88047,-78.51525,16.5,2013-04-14,11:47:30,2,C7C - Altair
33.88048,-78.51550,19.1,2012-05-21,12:20:58,2,C7C - Altair
33.88048,-78.51527,16.9,2011-11-11,16:16:04,2,C7C - Altair
33.88048,-78.51523,19.4,2012-11-02,13:41:25,2,C7C - Altair
33.88048,-78.51515,15.8,2013-04-14,11:47:32,2,C7C - Altair
33.88048,-78.51511,17.0,2014-05-23,17:10:00,2,CDE - Altair
33.88048,-78.51457,11.8,2010-10-25,15:05:44,1.3,C7C - Chez Nous
33.88049,-78.51551,14.2,2013-11-07,21:52:18,2,CDE - Altair
33.88050,-78.51545,13.0,2013-06-17,12:23:36,0,1A1 - Marina Life
33.88050,-78.51542,19.0,2012-05-21,12:21:00,2,C7C - Altair
33.88050,-78.51515,18.9,2012-11-02,13:41:23,2,C7C - Altair
33.88050,-78.51502,16.9,2014-05-23,17:10:02,2,CDE - Altair
33.88050,-78.51448,11.8,2010-10-25,15:05:42,1.3,C7C - Chez Nous
33.88052,-78.51540,14.4,2013-11-07,21:52:16,2,CDE - Altair
33.88052,-78.51518,17.0,2011-11-11,16:16:02,2,C7C - Altair
33.88052,-78.51507,19.2,2012-11-02,13:41:21,2,C7C - Altair
33.88052,-78.51505,16.7,2013-04-14,11:47:34,2,C7C - Altair
33.88052,-78.51493,17.0,2014-05-23,17:10:04,2,CDE - Altair
33.88052,-78.51439,11.7,2010-10-25,15:05:40,1.3,C7C - Chez Nous
33.88053,-78.51535,12.9,2013-06-17,12:23:39,0,1A1 - Marina Life
33.88053,-78.51535,19.0,2012-05-21,12:21:02,2,C7C - Altair
33.88053,-78.51508,16.9,2011-11-11,16:16:00,2,C7C - Altair
33.88053,-78.51495,16.1,2013-04-14,11:47:36,2,C7C - Altair
33.88054,-78.51529,14.8,2013-11-07,21:52:14,2,CDE - Altair
33.88054,-78.51484,17.2,2014-05-23,17:10:06,2,CDE - Altair
33.88054,-78.51431,11.7,2010-10-25,15:05:38,1.3,C7C - Chez Nous
33.88055,-78.51527,13.1,2013-06-17,12:23:41,0,1A1 - Marina Life
33.88055,-78.51527,19.2,2012-05-21,12:21:04,2,C7C - Altair
33.88055,-78.51497,19.2,2012-11-02,13:41:19,2,C7C - Altair
33.88056,-78.51475,17.6,2014-05-23,17:10:08,2,CDE - Altair
33.88056,-78.51422,11.5,2010-10-25,15:05:36,1.3,C7C - Chez Nous
33.88057,-78.51520,13.0,2013-06-17,12:23:42,0,1A1 - Marina Life
33.88057,-78.51519,14.4,2013-11-07,21:52:12,2,CDE - Altair
33.88057,-78.51518,18.6,2012-05-21,12:21:06,2,C7C - Altair
33.88057,-78.51500,17.3,2011-11-11,16:15:58,2,C7C - Altair
33.88057,-78.51488,19.1,2012-11-02,13:41:17,2,C7C - Altair
33.88057,-78.51485,16.4,2013-04-14,11:47:38,2,C7C - Altair
33.88058,-78.51513,13.4,2013-06-17,12:23:45,0,1A1 - Marina Life
33.88058,-78.51512,19.0,2012-05-21,12:21:08,2,C7C - Altair
33.88058,-78.51490,17.0,2011-11-11,16:15:56,2,C7C - Altair
33.88058,-78.51480,18.9,2012-11-02,13:41:15,2,C7C - Altair
33.88058,-78.51477,16.1,2013-04-14,11:47:40,2,C7C - Altair
33.88059,-78.51508,14.6,2013-11-07,21:52:10,2,CDE - Altair
33.88059,-78.51466,17.5,2014-05-23,17:10:10,2,CDE - Altair
33.88059,-78.51414,11.5,2010-10-25,15:05:34,1.3,C7C - Chez Nous
33.88060,-78.51508,12.7,2013-06-17,12:23:47,0,1A1 - Marina Life
33.88060,-78.51503,19.1,2012-05-21,12:21:10,2,C7C - Altair
33.88060,-78.51472,18.9,2012-11-02,13:41:13,2,C7C - Altair
33.88061,-78.51456,17.3,2014-05-23,17:10:12,2,CDE - Altair
33.88061,-78.51405,12.0,2010-10-25,15:05:32,1.3,C7C - Chez Nous
33.88062,-78.51498,12.8,2013-06-17,12:23:50,0,1A1 - Marina Life
33.88062,-78.51498,14.5,2013-11-07,21:52:08,2,CDE - Altair
33.88062,-78.51497,19.5,2012-05-21,12:21:12,2,C7C - Altair
33.88062,-78.51480,16.8,2011-11-11,16:15:54,2,C7C - Altair
33.88062,-78.51467,17.2,2013-04-14,11:47:42,2,C7C - Altair
33.88062,-78.51462,19.3,2012-11-02,13:41:11,2,C7C - Altair
33.88063,-78.51492,12.8,2013-06-17,12:23:52,0,1A1 - Marina Life
33.88063,-78.51488,19.2,2012-05-21,12:21:14,2,C7C - Altair
33.88063,-78.51470,16.8,2011-11-11,16:15:52,2,C7C - Altair
33.88063,-78.51457,16.8,2013-04-14,11:47:44,2,C7C - Altair
33.88063,-78.51453,19.0,2012-11-02,13:41:09,2,C7C - Altair
33.88063,-78.51446,17.8,2014-05-23,17:10:14,2,CDE - Altair
